"artist";"title"
"Ginie Line";"Le Dilemme"
"Youssou N'dour";"7 Seconds"
"Kyo";"Le Chemin"
"Joe Cocker";"You Are So Beautiful"
"Supertramp";"Goodbye Stranger"
"Bruno Mars";"The Lazy Song"
"Francis Cabrel";"Encore Et Encore"
"Seal";"Crazy"
"Lionel Richie";"Lady"
"Julien Dore";"Paris Seychelles"
"Berlin";"Take My Breath Away"
"Christophe Mae";"On S'attache"
"Cyndi Lauper";"Time After Time"
"Gims & Sting";"Reste"
"Queen";"The Show Must Go On"
"Kelly Clarkson";"Because Of You"
"Alain Souchon";"L'amour A La Machine"
"Talk Talk";"It's My Life"
"Corneille";"Parce Qu'on Vient De Loin"
"Madilyn Bailey";"Titanium"
"Billy Joel";"Uptown Girl"
"Florent Pagny";"Chanter"
"Suzanne Vega";"Luka"
"Ed Sheeran Feat. Khalid";"Beautiful People"
"Amel Bent";"Ma Philosophie"
"Phil Collins";"True Colors"
"Jason Mraz";"I'm Yours"
"Ten Sharp";"You"
"Angele";"Flou"
"U2";"With Or Without You"
"Renaud & Axelle Red";"Manhattan Kaboul"
"Des'ree";"You Gotta Be"
"Jennifer Lopez";"Jenny From The Block"
"Francis Cabrel";"C'est Ecrit"
"Culture Club";"Do You Really Want To Hurt Me"
"Julien Dore";"Le Lac"
"Celine Dion";"My Heart Will Go On"
"Mika";"Love Today"
"Elton John";"Sorry Seems To Be The Hardest Word"
"The Avener";"Castle In The Snow"
"Ophelie Winter";"Dieu M'a Donne La Foi"
"Lady Gaga & Bradley Coope";"Shallow"
"Cyndi Lauper";"Girls Just Want To Have Fun"
"Dido";"White Flag"
"Bryan Adams";"(Everything I Do) I Do It For You"
"Jeremy Frerot";"Revoir"
"Shakira";"Whenever Wherever"
"Lene Marlin";"Sitting Down Here"
"Kim Carnes";"Bette Davis Eyes"
"Jennifer Paige";"Crush"
"Patrick Bruel";"J'te L'dis Quand Meme"
"Bruno Mars";"Treasure"
"Supertramp";"Breakfast In America"
"Louane";"Si T'etais La"
"Eternal";"I Wanna Be The Only One"
"Tracy Chapman";"Talkin' Bout Revolution"
"Whitney Houston";"Run To You"
"Wham";"Wake Me Up Before You Go-Go"
"Modjo";"Lady (Hear Me Tonight)"
"Lady Gaga";"Always Remember Us This Way"
"Fredericks Goldman Jones";"A Nos Actes Manques"
"Craig David & Sting";"Rise And Fall"
"Take That";"Back For Good"
"Geri Halliwell";"It's Raining Men"
"Gerald De Palmas";"J'en Reve Encore"
"Irene Cara";"What A Feelin'"
"Mariah Carey";"Without You"
"Axelle Red";"Sensualite"
"Scorpions";"Wind Of Change"
"Claudio Capeo";"Ma Jolie"
"Alicia Keys";"Fallin'"
"Jasmine Thompson";"Mad World"
"Kyo";"Derniere Danse"
"Jennifer Lopez";"If You Had My Love"
"Roch Voisine";"Tant Pis"
"Billy Joel";"Honesty"
"Janet Jackson";"Together Again"
"Elton John";"I'm Still Standing"
"Britney Spears";"Baby One More Time"
"Queen";"Another One Bites The Dust"
"Daniel Powter";"Bad Day"
"Inxs";"Need You Tonight"
"Emmanuel Moire";"Je Fais De Toi Mon Essentiel"
"Stevie Wonder";"Part Time Lover"
"Rihanna";"Don't Stop The Music"
"Joe Cocker";"You Can Leave Your Hat On"
"Tlc";"No Scrubs"
"Celine Dion";"Encore Un Soir"
"Destiny's Child";"Survivor"
"Daft Punk";"Instant Crush"
"Neneh Cherry";"7 Seconds"
"Sting";"Fields Of Gold"
"Norah Jones";"Don't Know Why"
"Zazie";"J'envoie Valser"
"Bryan Ferry";"Slave To Love"
"George Michael";"One More Try"
"U2";"One"
"Paul Young";"Everytime You Go Away"
"Jeff Buckley";"Hallelujah"
"France Gall";"Evidemment"
"Sade";"No Ordinary Love"
"Simply Red";"If You Don't Know Me By Now"
"Francis Cabrel";"La Corrida"
"Rod Stewart";"Sailing"
"Faith No More";"Easy"
"Dido";"Thank You"
"Vanessa Paradis";"Il Y A"
"Phil Collins";"Everyday"
"Elisa Tovati";"Il Nous Faut"
"The Commodores";"Nightshift"
"Elton John";"Whispers"
"A Ha";"Hunting High And Low"
"Peter Cincotti";"Goobye Philadelphia"
"Axelle Red";"Parce Que C'est Toi"
"Gerry Rafferty";"Baker Street"
"Chimene Badi";"Entre Nous"
"Vianney";"Je M'en Vais"
"Mylene Farmer";"Sans Contrefacon"
"Adele";"Rolling In The Deep"
"Tina Turner";"We Don't Need Another Hero"
"Louane";"On Etait Beau (Version Clean Louder)"
"Mariah Carey";"My All"
"The Police";"Every Breath You Take"
"Justin Nozuka & Zaho";"Heartless"
"Iz";"Over The Rainbow"
"Clara Luciani";"Ma Soeur"
"Lauren Daigle";"You Say"
"Pascal Obispo";"Tombe Pour Elle"
"Shakira";"Loca"
"Murray Head";"Say It Ain't So Joe"
"Dht Feat. Edmee";"Listen To Your Heart"
"Alicia Keys";"If I Ain't Got You"
"Daniel Balavoine";"Vivre Ou Survivre"
"Vitaa & Slimane";"Ca Va Ca Vient"
"Les Innocents";"L'autre Finistere"
"Seal";"Love's Divine"
"Cock Robin";"When Your Heart Is Weak"
"Robin Thicke";"Blurred Lines"
"Renaud";"Mistral Gagnant"
"Elton John";"Can You Feel The Love Tonight"
"Gregoire";"Toi Moi"
"Marvin Gaye";"Sexual Healing"
"Michael Jackson";"Don't Stop 'Til You Get Enough"
"Bruno Mars";"When I Was Your Man"
"Indochine";"Tes Yeux Noirs"
"Jean Jacques Goldman";"Elle A Fait Un Bebe Toute Seule"
"Guillaume Grand";"Toi Et Moi"
"Michael Jackson";"Will You Be There"
"Britney Spears";"Everytime"
"Francis Cabrel";"Petite Marie (Live)"
"Lionel Richie";"Hello"
"Justin Timberlake";"Rock Your Body"
"Imagine Dragons";"Birds"
"Madonna";"Holiday"
"Chris Cab";"Liar Liar"
"Daniel Balavoine";"Sauver L'amour"
"Ed Sheeran & Justin Biebe";"I Don't Care"
"Calogero";"On Fait Comme Si"
"Michael Jackson";"Smooth Criminal"
"Texas";"Summer Son"
"Alicia Keys";"Girl On Fire"
"Jean Jacques Goldman";"Ils Sauvent Des Vies"
"Fr David";"Words"
"Freya Ridings";"Castles"
"Matt Pokora";"Tombe"
"Bruce Springsteen";"Streets Of Philadelphia"
"Joe Cocker";"Up Where We Belong"
"Phil Collins";"Can't Stop Loving You"
"France Gall";"Babacar"
"Josef Salvat";"Diamonds"
"Sting";"Englishman In New York"
"Mecano";"Une Femme Avec Une Femme"
"Fredericks Goldman Jones";"Ne En 17 A Leidenstadt"
"Ensemble Contre Le Sida";"Sa Raison D'etre"
"Lionel Richie";"All Night Long (All Night)"
"Lewis Capaldi";"Before You Go"
"Gnarls Barkley";"Crazy"
"Madonna";"La Isla Bonita"
"Katy Perry";"Hot N Cold"
"Patrick Bruel";"Heros"
