"artist";"title"
"Et Demain ? Le Collectif";"Et Demain ?"
"Michael Jackson";"The Way You Make Me Feel"
"Jean-Jacques Goldman";"Au Bout De Mes Reves"
"Michael Jackson";"Man In The Mirror"
"Celine Dion";"Pour Que Tu M'aimes Encore"
"Ariana Grande";"One Last Time"
"Michael Jackson";"I Just Can't Stop Loving You"
"Roxy Music";"Avalon"
"George Michael";"Cowboys And Angels"
"Duran Duran";"Ordinary World"
"Alicia Keys";"No One (Live)"
"Whigfield";"Saturday Night"
"Seemone";"Dans Mes Reves"
"Pedro Capo";"Calma"
"Sia";"Chandelier"
"Generation Goldman";"Envole Moi"
"Luis Fonsi & Demi Lovato";"Echame La Culpa"
"Frankie Goes To Hollywood";"The Power Of Love"
"Simply Red";"Holding Back The Years"
"Zucchero";"Senza Una Donna (Live)"
"Avril Lavigne";"Knockin' On Heaven's Door"
"Dean Lewis";"Be Alright"
"Annie Lennox";"No More I Love You's"
"The Christians";"Words"
"Jevetta Steele";"Calling You"
"Ub 40";"(I Can't Help) Falling In Love With You"
"Sam Smith";"Stay With Me (Live)"
"Enrique Iglesias";"Duele El Corazon"
"Jain";"Alright"
"Omi";"Cheerleader"
"Kendji Girac";"Andalouse"
"The Weeknd";"I Feel It Coming"
"Usa For Africa";"We Are The World"
"Louane";"On Etait Beau"
"Neneh Cherry";"Woman"
"Elton John";"Blue Eyes"
"William Sheller";"Un Homme Heureux"
"Alain Souchon";"On Avance"
"Dave Stewart";"Lily Was Here"
"Vanessa Paradis";"Mistral Gagnant"
"Double You";"Please Don't Go"
"Zazie";"Apres La Pluie"
"Michael Jackson";"Human Nature"
"Harry Styles";"Sign Of The Times"
"Patrick Bruel";"Place Des Grands Hommes (Live)"
"Duran Duran";"The Reflex"
"Mariah Carey";"I'll Be There"
"Amii Stewart";"Friends"
"George Michael";"Father Figure"
"Lily Allen";"Somewhere Only We Know"
"Daniel Balavoine";"Sos D'un Terrien En Detresse"
"Richard Sanderson";"Reality"
"Mary Mary";"Shackles"
"Et Demain Le Collectif";"Et Demain"
