"artist";"title";"day";"hour"
"Patrick Bruel";"Place Des Grands Hommes";"2020-04-06";"07:47"
"Lewis Capaldi";"Someone You Loved";"2020-04-06";"07:43"
"Larusso";"Tu M'oublieras";"2020-04-06";"07:40"
"Maroon 5";"Memories";"2020-04-06";"07:34"
"Toto";"Africa";"2020-04-06";"07:29"
"Jean Jacques Goldman";"Envole Moi";"2020-04-06";"07:20"
"Shaed Feat Zayn";"Trampoline";"2020-04-06";"07:15"
"Shania Twain";"You're Still The One";"2020-04-06";"07:11"
"Les Enfoires";"A Cote De Toi";"2020-04-06";"07:06"
"Sam Brown";"Stop";"2020-04-06";"07:02"
"Spice Girls";"Wannabe";"2020-04-06";"06:52"
"Alphaville";"Forever Young";"2020-04-06";"06:49"
"Angele";"Balance Ton Quoi";"2020-04-06";"06:45"
"Eagle Eye Cherry";"Save Tonight";"2020-04-06";"06:39"
"Nea";"Some Say";"2020-04-06";"06:34"
"Bill Medley";"The Time Of My Life";"2020-04-06";"06:23"
"Vitaa & Slimane";"Je Te Le Donne";"2020-04-06";"06:19"
"Lionel Richie";"Say You Say Me";"2020-04-06";"06:11"
"The Weeknd";"Blinding Lights";"2020-04-06";"06:07"
"Daniel Balavoine";"Aimer Est Plus Fort Que D'etre Aime";"2020-04-06";"06:02"
"Phil Collins";"You Can't Hurry Love";"2020-04-06";"05:51"
"Celine Dion";"S'il Suffisait D'aimer";"2020-04-06";"05:48"
"Daft Punk";"Get Lucky";"2020-04-06";"05:43"
"Matt Pokora";"Si T'es Pas La";"2020-04-06";"05:39"
"Nik Kershaw";"The Riddle";"2020-04-06";"05:34"
"Calogero";"Voler De Nuit";"2020-04-06";"05:23"
"Tina Turner";"What's Love Got To Do With It";"2020-04-06";"05:20"
"Lady Gaga Et Bradley Coop";"Shallow";"2020-04-06";"05:13"
"Enrique Iglesias";"Tired Of Being Sorry";"2020-04-06";"05:07"
"Arthur Simms";"It's Only Mystery";"2020-04-06";"05:02"
"Des'ree";"Life";"2020-04-06";"04:53"
"Jean Jacques Goldman";"La Vie Par Procuration";"2020-04-06";"04:49"
"Tones And I";"Dance Monkey";"2020-04-06";"04:44"
"Donna Lewis";"I Love You Always Forever";"2020-04-06";"04:40"
"Vitaa & Slimane";"Avant Toi";"2020-04-06";"04:33"
"Richard Marx";"Right Here Waiting";"2020-04-06";"04:23"
"Angele";"Oui Ou Non";"2020-04-06";"04:19"
"Michael Jackson";"Billie Jean";"2020-04-06";"04:12"
"Kendji Girac";"Tu Vas Manquer";"2020-04-06";"04:07"
"Queen";"I Want To Break Free";"2020-04-06";"04:02"
"Lenny Kravitz";"It Ain't Over 'Til It's Over";"2020-04-06";"03:51"
"Laurent Voulzy";"Belle Ile En Mer";"2020-04-06";"03:48"
"Pascal Obispo";"Fan";"2020-04-06";"03:40"
"4 Non Blondes";"What's Up";"2020-04-06";"03:36"
"Niagara";"Je Dois M'en Aller";"2020-04-06";"03:29"
"Adele";"Someone Like You";"2020-04-06";"03:26"
"Wham";"Last Christmas";"2020-04-06";"03:19"
"Matt Pokora";"Les Planetes";"2020-04-06";"03:15"
"Shola Ama";"You Might Need Somebody";"2020-04-06";"03:11"
"Les Enfoires";"A Cote De Toi";"2020-04-06";"03:08"
"Prince";"Purple Rain";"2020-04-06";"03:01"
"Shaed & Zayn";"Trampoline";"2020-04-06";"02:58"
"Fugees";"Killing Me Softly";"2020-04-06";"02:54"
"Roy Orbison";"Oh, Pretty Woman";"2020-04-06";"02:48"
"Gerald De Palmas";"Sur La Route";"2020-04-06";"02:41"
"James Arthur";"Impossible";"2020-04-06";"02:37"
"Elton John";"Don't Go Breaking My Heart";"2020-04-06";"02:30"
"Les Frangines";"Donnez-Moi";"2020-04-06";"02:25"
"Eagles";"Hotel California";"2020-04-06";"02:19"
"Madonna";"Music";"2020-04-06";"02:12"
"Daniel Balavoine";"Mon Fils Ma Bataille";"2020-04-06";"02:08"
"Michael Bolton";"When A Man Loves A Woman";"2020-04-06";"02:01"
"Mister Big";"Wild World";"2020-04-06";"01:53"
"Carly Rae Jepsen";"Call Me Maybe";"2020-04-06";"01:50"
"Status Quo";"In The Army Now";"2020-04-06";"01:43"
"Sia";"Unstoppable";"2020-04-06";"01:41"
"Ace Of Base";"All That She Wants";"2020-04-06";"01:37"
"Matt Pokora";"Si T'es Pas La";"2020-04-06";"01:33"
