"artist";"title"
"The Who";"Baba O'riley"
"Kings Of Leon";"Waste A Moment"
"The Rolling Stones";"We Love You"
"Garbage";"Empty"
"Madness";"Night Boat To Cairo"
"Tom Jones";"Burning Down The House (Feat. The Cardigans)"
"Mgmt";"Electric Feel"
"The Cure";"Love Song"
"Steven Wilson";"Permanating"
"The Clash";"Jimmy Jazz"
"Bjork";"It's Oh So Quiet"
"The Stone Roses";"All For One"
"David Bowie";"Rebel Rebel"
"Kate Nash";"Foundations"
"Franz Ferdinand";"The Dark Of The Matinee"
"Temples";"You're Either On Something"
"Jagwar Ma";"Come Save Me"
"Bryan Ferry";"Let's Stick Together"
"Peter Bjorn And John";"Young Folks"
"Pulp";"Le Roi Des Fourmis"
"Mondo Cozmo";"Shine"
"Small Faces";"Lazy Sunday"
"The Libertines";"Can't Stand Me Now"
"Bloc Party";"I Still Remember"
"Asaf Avidan";"Different Pulses"
"The Velvet Underground";"I'm Waiting For The Man"
"Placebo";"Jesus' Son"
"10 Cc";"Dreadlock Holiday"
"Arcade Fire";"Rebellion (Lies)"
"Everything Everything";"Kemosabe"
"Love";"Alone Again Or"
"Richard Ashcroft";"A Song For The Lovers"
"I'm From Barcelona";"Violins"
"Elvis Costello & The Attractions";"Watching The Detectives"
"Mattiel";"Count Your Blessings"
"Emiliana Torrini";"Jungle Drum"
"The Stone Roses";"Love Spreads"
"St. Vincent";"Los Ageless"
"The Cure";"Charlotte Sometimes"
"The Ting Tings";"That's Not My Name"
"Miles Kane";"Blame It On The Summertime"
"Cornershop";"Brimful Of Asha (Norman Cook Remix)"
"Rufus Wainwright";"Across The Universe"
"Hyphen Hyphen";"Just Need Your Love"
"Joy Division";"Disorder"
"The Black Keys";"Go"
"Franz Ferdinand";"Love Illumination"
"Johnny Cash";"Folsom Prison Blues (Live San Quentin)"
"Killing Joke";"Love Like Blood"
"Noel Gallagher's High Flying...";"It's A Beautiful World"
"Suede";"She's In Fashion"
"Nathaniel Rateliff";"I Need Never Get Old"
"Allah-Las";"In The Air"
"The Servant";"Orchestra"
"Hot Chip";"Huarache Lights"
"Patti Smith";"Frederick"
"Pj Harvey";"When Under Ether"
"Primal Scream";"Loaded"
"Alt-J";"In Cold Blood"
"David Bowie";"Oh! You Pretty Things"
"Babyshambles";"Albion"
"Muse";"Can't Take My Eyes Off Of You"
"R.e.m.";"Radio Free Europe"
"Arctic Monkeys";"I Wanna Be Yours"
"Elton John";"Rocket Man"
"Radiohead";"My Iron Lung"
"New Order";"Crystal"
"The Undertones";"Here Comes The Summer"
"Pulp";"Do You Remember The First Time?"
"Editors";"A Ton Of Love"
"Sex Pistols";"God Save The Queen"
"Compulsion";"Mall Monarchy"
"Kraftwerk";"Radioactivity"
"Richard Hawley";"Alone"
"John Lennon";"How Do You Sleep ? (Remastered)"
"David Bowie";"Absolute Beginners"
"Vampire Weekend";"Holiday"
"The Clash";"Should I Stay Or Should I Go"
"Florence The Machine";"Ship To Wreck"
"Iggy Pop";"Lust For Life"
"Frankie Goes To Hollywood";"The Power Of Love"
"Justice Vs Simian";"We Are Your Friends"
"Robert Wyatt";"I'm A Believer"
"Arcade Fire";"Ready To Start"
"The Vaccines";"I Can't Quit"
"Cake";"Never There"
"Dr. Feelgood";"Milk And Alcohol"
"Pixies";"Monkey Gone To Heaven"
"Nouvelle Vague";"Dancing With Myself"
"Lloyd Cole";"Perfect Skin"
"Marianne Faithfull";"Broken English"
